time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:23.2,5.0021,0.1447,0.7239,2.964,0.003,,,5.0251,0.0134,0.0674,3.057,0.003,,
00:23.3,5.0023,0.1449,0.7247,3.071,0.004,,,5.025,0.0134,0.0672,3.034,0.012,0.0113,28.1
00:23.4,5.0027,0.1449,0.7249,3.05,0.016,,,5.025,0.0133,0.067,0.035,2.664,,
00:23.5,5.0027,0.1587,0.794,3.068,0.035,,,5.0252,0.0133,0.0669,3.046,2.969,,
00:23.6,5.0008,0.1754,0.8771,3.241,1.039,,,5.0254,0.0134,0.0672,3.047,0.02,,
00:23.7,4.9994,0.177,0.8851,3.08,0.021,,,5.0254,0.0134,0.0672,3.043,0.025,,
00:23.8,4.9986,0.178,0.8899,3.064,0.03,,,5.0253,0.0134,0.0671,3.048,0.486,,
00:23.9,4.9978,0.1786,0.8927,3.048,0.004,,,5.0254,0.0134,0.0671,3.044,0.066,,
00:24.0,4.9977,0.179,0.8946,0.299,0.006,0.0054,27.9,5.0254,0.0134,0.0671,2.575,0.002,,
00:24.1,4.9976,0.1792,0.8955,3.056,0.002,,,5.0254,0.0133,0.0671,3.216,0.025,,
