time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:13.1,5.0029,0.1451,0.7261,3.219,3.006,0.0028,27.4,5.0006,0.1438,0.719,2.534,0.002,,
00:13.2,5.003,0.1451,0.726,3.042,0.899,,,5.0015,0.1445,0.7226,3.255,0.009,,
00:13.3,5.0029,0.1451,0.726,3.042,0.022,,,5.002,0.1449,0.7248,2.763,0.01,,
00:13.4,5.0029,0.1452,0.7263,2.483,0.011,,,5.0025,0.1451,0.726,3.167,0.004,,
00:13.5,5.0029,0.1451,0.7261,3.074,0.029,,,5.0029,0.1453,0.7267,3.064,0.002,0.0375,27.8
00:13.6,5.003,0.1452,0.7263,3.18,0.809,,,5.0029,0.1453,0.727,3.049,0.002,,
00:13.7,5.0029,0.1452,0.7262,3.053,3.294,,,5.0029,0.1454,0.7272,3.088,0.002,,
00:13.8,5.0029,0.1451,0.726,2.455,0.127,,,5.0028,0.1588,0.7945,3.063,0.623,,
00:13.9,5.0029,0.1451,0.726,3.055,0.025,,,5.0008,0.1766,0.8831,2.945,0.004,,
00:13.0,5.0028,0.1451,0.7261,3.126,0.002,,,4.9996,0.1779,0.8893,3.053,0.011,,
00:14.1,5.0029,0.1451,0.7261,2.794,0.009,0.003,27.2,4.9988,0.1785,0.8925,3.086,0.002,,
00:14.2,5.0029,0.1451,0.7261,3.073,0.651,,,4.9983,0.179,0.8947,3.001,0.003,,
00:14.3,5.0028,0.1452,0.7262,3.048,0.015,,,4.9979,0.1792,0.8957,3.04,0.002,,
00:14.4,5.0029,0.1451,0.726,2.673,0.021,,,4.9979,0.1794,0.8965,3.049,0.001,,
00:14.5,5.0029,0.1451,0.7261,3.05,0.02,,,4.9978,0.1794,0.8964,3.128,0.003,0.0378,28.2
00:14.6,5.0029,0.1451,0.726,3.09,0.007,,,4.9979,0.1796,0.8974,3.063,0.11,,
00:14.7,5.0029,0.1451,0.726,3.061,0.008,,,4.9979,0.1795,0.8973,3.091,0.003,,
00:14.8,5.0029,0.1451,0.7261,3.151,0.002,,,5.0009,0.1442,0.7213,3.044,0.01,,
00:14.9,5.0029,0.1451,0.7261,3.07,0.008,,,5.0011,0.1443,0.7217,3.106,0.005,,
00:14.0,5.003,0.1452,0.7262,3.053,0.002,,,5.0019,0.145,0.7255,1.808,0.003,,
00:15.1,5.0029,0.1452,0.7262,3.07,0.004,0.0032,27.5,5.002,0.1451,0.7256,3.083,0.004,,
00:15.2,5.0029,0.1451,0.726,3.218,1.108,,,5.0023,0.1452,0.7263,3.074,0.002,,
00:15.3,5.0029,0.1451,0.7259,3.057,0.005,,,5.0027,0.1452,0.7265,3.033,0.002,,
00:15.4,5.0029,0.1451,0.726,3.097,0.008,,,5.0029,0.1453,0.727,3.029,0.003,,
00:15.5,5.0029,0.1451,0.7259,3.053,0.004,,,5.0029,0.1454,0.7273,3.053,0.332,0.038,27.9
00:15.6,5.0029,0.1451,0.7261,3.081,0.002,,,5.0029,0.1454,0.7275,3.058,0.031,,
00:15.7,5.0029,0.1452,0.7262,3.048,0.01,,,5.0029,0.1454,0.7275,3.054,0.002,,
00:15.8,5.0029,0.1451,0.726,3.081,0.653,,,5.0029,0.1454,0.7274,3.05,0.004,,
00:15.9,5.0029,0.1451,0.7259,3.057,0.002,,,5.0029,0.1454,0.7272,3.181,0.003,,
00:15.0,5.003,0.1451,0.7259,2.069,0.003,,,5.0029,0.1454,0.7275,3.06,0.015,,
00:16.1,5.0029,0.1451,0.726,3.094,0.343,0.0034,27.5,5.0029,0.1454,0.7276,2.485,0.01,,
00:16.2,5.0029,0.1451,0.7261,3.089,0.007,,,5.0029,0.1455,0.7277,3.043,0.005,,
