time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
16:30.1,5.0242,0.0132,0.0664,3.036,0.007,,,,,,,,,
16:30.2,5.0242,0.0132,0.0664,3.051,1.024,,,,,,,,,
16:30.3,5.0242,0.0132,0.0664,3.058,0.008,,,,,,,,,
16:30.4,5.0241,0.0132,0.0664,3.028,0.009,,,,,,,,,
16:30.5,5.024,0.0132,0.0664,3.285,0.014,,,,,,,,,
16:30.6,5.0241,0.0132,0.0664,3.029,0.36,,,,,,,,,
16:30.7,5.0241,0.0132,0.0664,3.02,0.012,,,,,,,,,
16:30.8,5.0241,0.0132,0.0664,3.015,0.011,,,,,,,,,
16:30.9,5.0242,0.0132,0.0665,1.011,0.034,,,,,,,,,
16:31.0,5.0242,0.0132,0.0664,3.059,0.099,0.0473,27.9,,,,,,,
16:31.1,5.0242,0.0132,0.0664,3.013,0.032,,,,,,,,,
16:31.2,5.0241,0.0132,0.0664,3.044,0.009,,,,,,,,,
16:31.3,5.0242,0.0132,0.0664,3.056,0.004,,,,,,,,,
16:31.4,5.0242,0.0132,0.0664,3.041,0.009,,,,,,,,,
16:31.5,5.0241,0.0132,0.0664,3.037,0.008,,,,,,,,,
16:31.6,5.0241,0.0132,0.0664,3.174,0.009,,,,,,,,,
16:31.7,5.0241,0.0132,0.0664,3.27,0.012,,,,,,,,,
16:31.8,5.0241,0.0132,0.0664,3.037,0.004,,,,,,,,,
16:31.9,5.0242,0.0132,0.0664,3.056,0.006,,,,,,,,,
16:32.0,5.0242,0.0132,0.0664,3.034,0.012,0.0473,27.7,,,,,,,
16:32.1,5.0241,0.0132,0.0664,3.035,0.004,,,,,,,,,
16:32.2,5.0241,0.0132,0.0664,3.064,0.007,,,,,,,,,
16:32.3,5.0242,0.0132,0.0664,3.035,1.616,,,,,,,,,
16:32.4,5.0242,0.0132,0.0664,3.039,0.037,,,,,,,,,
16:32.5,5.0241,0.0132,0.0664,3.141,0.015,,,,,,,,,
16:32.6,5.0242,0.0132,0.0665,3.04,0.002,,,,,,,,,
16:32.7,5.0242,0.0132,0.0664,3.064,0.063,,,,,,,,,
16:32.8,5.0242,0.0132,0.0664,3.027,0.004,,,,,,,,,
16:32.9,5.0241,0.0132,0.0665,3.019,0.011,,,,,,,,,
16:33.0,5.0242,0.0132,0.0665,3.026,0.003,0.0473,28.1,,,,,,,
16:33.1,5.0242,0.0132,0.0664,3.04,0.008,,,,,,,,,
16:33.2,5.0242,0.0132,0.0664,3.052,0.058,,,,,,,,,
16:33.3,5.0241,0.0132,0.0664,3.059,1.948,,,,,,,,,
16:33.4,5.0241,0.0132,0.0664,3.038,0.189,,,,,,,,,
16:33.5,5.0242,0.0132,0.0665,3.065,0.026,,,,,,,,,
16:33.6,5.0241,0.0132,0.0665,3.012,0.007,,,,,,,,,
16:33.7,5.0242,0.0132,0.0664,3.033,0.013,,,,,,,,,
16:33.8,5.0242,0.0132,0.0664,3.02,0.006,,,,,,,,,
16:33.9,5.0241,0.0132,0.0665,3.036,0.004,,,,,,,,,
16:34.0,5.0242,0.0132,0.0664,3.027,0.009,0.0473,26.8,,,,,,,
16:34.1,5.0242,0.0132,0.0664,3.2,0.018,,,,,,,,,
16:34.2,5.0241,0.0132,0.0664,3.04,0.011,,,,,,,,,
16:34.3,5.0241,0.0132,0.0663,3.064,0.023,,,,,,,,,
16:34.4,5.0242,0.0132,0.0664,3.044,0.008,,,,,,,,,
16:34.5,5.0242,0.0132,0.0664,2.998,1.602,,,,,,,,,
16:34.6,5.0242,0.0132,0.0664,3.031,0.004,,,,,,,,,
16:34.7,5.0242,0.0132,0.0665,3.054,0.013,,,,,,,,,
16:34.8,5.0242,0.0132,0.0664,2.085,0.013,,,,,,,,,
16:34.9,5.0242,0.0132,0.0664,1.046,0.011,,,,,,,,,
16:35.0,5.0242,0.0132,0.0665,0.157,0.009,0.0473,27.5,,,,,,,
16:35.1,5.0241,0.0132,0.0664,3.036,0.023,,,,,,,,,
16:35.2,5.0242,0.0132,0.0664,3.048,0.011,,,,,,,,,
16:35.3,5.0242,0.0132,0.0664,3.027,0.009,,,,,,,,,
16:35.4,5.0242,0.0132,0.0664,3.036,0.008,,,,,,,,,
16:35.5,5.0242,0.0132,0.0664,3.158,0.693,,,,,,,,,
16:35.6,5.0241,0.0132,0.0664,3.084,0.005,,,,,,,,,
16:35.7,5.0242,0.0132,0.0664,1.257,0.035,,,,,,,,,
16:35.8,5.0242,0.0132,0.0665,3.016,0.029,,,,,,,,,
16:35.9,5.0242,0.0132,0.0664,3.034,0.007,,,,,,,,,
16:36.0,5.0241,0.0132,0.0664,2.924,0.008,0.0474,27.5,,,,,,,
16:36.1,5.0242,0.0132,0.0664,2.449,1.479,,,,,,,,,
16:36.2,5.0242,0.0132,0.0664,3.039,3.281,,,,,,,,,
16:36.3,5.0242,0.0132,0.0665,3.066,0.003,,,,,,,,,
16:36.4,5.0242,0.0132,0.0665,3.035,2.328,,,,,,,,,
16:36.5,5.0242,0.0133,0.0666,3.036,0.006,,,,,,,,,
16:36.6,5.0242,0.0132,0.0664,0.121,0.025,,,,,,,,,
16:36.7,5.0241,0.0132,0.0664,3.065,0.016,,,,,,,,,
16:36.8,5.0241,0.0132,0.0664,3.073,0.013,,,,,,,,,
16:36.9,5.0242,0.0132,0.0665,3.122,0.005,,,,,,,,,
16:37.0,5.0242,0.0132,0.0664,3.034,0.006,0.0474,27.6,,,,,,,
16:37.1,5.0241,0.0132,0.0664,3.045,0.006,,,,,,,,,
16:37.2,5.0242,0.0132,0.0664,3.047,0.004,,,,,,,,,
16:37.3,5.0242,0.0132,0.0664,3.054,0.021,,,,,,,,,
16:37.4,5.0242,0.0132,0.0664,3.029,0.005,,,,,,,,,
16:37.5,5.0242,0.0132,0.0664,3.032,0.046,,,,,,,,,
16:37.6,5.0242,0.0132,0.0664,3.052,0.005,,,,,,,,,
16:37.7,5.0242,0.0132,0.0664,3.009,0.004,,,,,,,,,
16:37.8,5.0242,0.0132,0.0664,1.662,0.006,,,,,,,,,
16:37.9,5.0242,0.0132,0.0665,3.049,0.019,,,,,,,,,
16:38.0,5.0242,0.0132,0.0664,3.04,0.008,0.0474,27.1,,,,,,,
16:38.1,5.0241,0.0132,0.0664,2.864,0.137,,,,,,,,,
16:38.2,5.0242,0.0132,0.0664,2.487,0.009,,,,,,,,,
16:38.3,5.0242,0.0132,0.0664,3.034,0.025,,,,,,,,,
16:38.4,5.0241,0.0132,0.0664,3.042,0.01,,,,,,,,,
16:38.5,5.0242,0.0132,0.0664,3.153,0.007,,,,,,,,,
16:38.6,5.0242,0.0132,0.0664,3.018,0.006,,,,,,,,,
16:38.7,5.0242,0.0132,0.0664,3.054,0.011,,,,,,,,,
16:38.8,5.0242,0.0132,0.0664,3,0.003,,,,,,,,,
16:38.9,5.0242,0.0132,0.0665,3.1,0.104,,,,,,,,,
16:39.0,5.0242,0.0132,0.0664,3.029,0.008,0.0474,27,,,,,,,
16:39.1,5.0241,0.0132,0.0664,3.043,0.017,,,,,,,,,
16:39.2,5.0241,0.0132,0.0664,3.006,0.005,,,,,,,,,
16:39.3,5.0241,0.0132,0.0664,3.049,0.008,,,,,,,,,
16:39.4,5.0242,0.0132,0.0664,0.398,0.023,,,,,,,,,
16:39.5,5.0242,0.0132,0.0664,3.05,0.133,,,,,,,,,
16:39.6,5.0242,0.0132,0.0664,3.049,0.006,,,,,,,,,
16:39.7,5.0242,0.0132,0.0664,3.048,0.005,,,,,,,,,
16:39.8,5.0242,0.0132,0.0664,0.29,0.006,,,,,,,,,
16:39.9,5.0242,0.0132,0.0664,2.084,0.004,,,,,,,,,
16:40.0,5.0242,0.0132,0.0664,3.037,0.011,0.0474,27.6,,,,,,,
16:40.1,5.0242,0.0132,0.0664,3.041,0.133,,,,,,,,,
16:40.2,5.0242,0.0132,0.0664,3.084,0.002,,,,,,,,,
16:40.3,5.0242,0.0132,0.0664,3.047,0.006,,,,,,,,,
16:40.4,5.0242,0.0132,0.0664,3.044,0.013,,,,,,,,,
16:40.5,5.0242,0.0132,0.0664,3.02,0.022,,,,,,,,,
16:40.6,5.0242,0.0132,0.0664,3.041,0.014,,,,,,,,,
16:40.7,5.0241,0.0132,0.0664,2.486,0.005,,,,,,,,,
16:40.8,5.0241,0.0132,0.0665,2.574,0.005,,,,,,,,,
16:40.9,5.0241,0.0132,0.0664,2.896,0.003,,,,,,,,,
16:41.0,5.0242,0.0132,0.0664,3.043,0.633,0.0475,27.8,,,,,,,
16:41.1,5.0242,0.0132,0.0664,3.032,0.004,,,,,,,,,
16:41.2,5.0242,0.0132,0.0664,3.039,0.031,,,,,,,,,
16:41.3,5.0242,0.0132,0.0664,3.033,0.02,,,,,,,,,
16:41.4,5.0241,0.0132,0.0665,3.209,2.466,,,,,,,,,
16:41.5,5.0241,0.0132,0.0665,3.025,0.023,,,,,,,,,
16:41.6,5.0242,0.0132,0.0664,3.029,0.004,,,,,,,,,
16:41.7,5.0242,0.0132,0.0664,2.941,0.003,,,,,,,,,
16:41.8,5.0242,0.0132,0.0665,3.045,0.011,,,,,,,,,
16:41.9,5.0242,0.0132,0.0665,3.041,0.513,,,,,,,,,
16:42.0,5.0242,0.0132,0.0664,3.045,0.031,0.0475,27.8,,,,,,,
16:42.1,5.0242,0.0132,0.0664,3.041,0.016,,,,,,,,,
16:42.2,5.0241,0.0132,0.0664,3.059,0.016,,,,,,,,,
16:42.3,5.0241,0.0132,0.0665,2.899,0.006,,,,,,,,,
16:42.4,5.0242,0.0132,0.0664,3.027,0.003,,,,,,,,,
16:42.5,5.0242,0.0132,0.0665,2.494,0.003,,,,,,,,,
16:42.6,5.0242,0.0132,0.0664,3.122,0.612,,,,,,,,,
16:42.7,5.0242,0.0132,0.0665,3.049,0.01,,,,,,,,,
16:42.8,5.0242,0.0132,0.0664,3.033,0.05,,,,,,,,,
16:42.9,5.0242,0.0132,0.0664,1.684,0.014,,,,,,,,,
16:43.0,5.0242,0.0132,0.0665,3.023,0.006,0.0475,27.9,,,,,,,
16:43.1,5.0241,0.0132,0.0665,3.043,0.011,,,,,,,,,
16:43.2,5.0242,0.0132,0.0664,3.065,0.003,,,,,,,,,
16:43.3,5.0242,0.0132,0.0665,3.043,0.003,,,,,,,,,
16:43.4,5.0241,0.0132,0.0665,2.592,0.012,,,,,,,,,
16:43.5,5.0242,0.0132,0.0664,3.046,2.587,,,,,,,,,
16:43.6,5.0241,0.0132,0.0664,3.054,0.013,,,,,,,,,
16:43.7,5.0241,0.0132,0.0665,3.035,0.017,,,,,,,,,
16:43.8,5.0241,0.0132,0.0664,2.286,0.007,,,,,,,,,
16:43.9,5.0241,0.0132,0.0665,3.063,0.012,,,,,,,,,
16:44.0,5.0241,0.0132,0.0665,3.031,0.004,0.0475,26.9,,,,,,,
16:44.1,5.0241,0.0132,0.0664,0.958,0.005,,,,,,,,,
16:44.2,5.0241,0.0132,0.0664,3.084,2.655,,,,,,,,,
16:44.3,5.0241,0.0132,0.0665,3.048,0.948,,,,,,,,,
16:44.4,5.0241,0.0132,0.0665,3.048,0.021,,,,,,,,,
16:44.5,5.0242,0.0132,0.0664,3.188,0.655,,,,,,,,,
16:44.6,5.0242,0.0132,0.0664,3.049,0.124,,,,,,,,,
16:44.7,5.0242,0.0132,0.0664,2.506,0.006,,,,,,,,,
16:44.8,5.0242,0.0132,0.0664,3.031,0.003,,,,,,,,,
16:44.9,5.0242,0.0132,0.0664,0.73,0.006,,,,,,,,,
16:45.0,5.0241,0.0132,0.0664,3.047,0.044,0.0475,27.7,,,,,,,
16:45.1,5.0242,0.0132,0.0664,3.062,0.515,,,,,,,,,
16:45.2,5.0241,0.0132,0.0665,3.045,0.02,,,,,,,,,
16:45.3,5.0242,0.0132,0.0665,3.063,0.005,,,,,,,,,
16:45.4,5.0241,0.0132,0.0664,0.612,1.03,,,,,,,,,
16:45.5,5.0241,0.0132,0.0664,3.03,0.005,,,,,,,,,
16:45.6,5.0241,0.0132,0.0664,3.053,0.003,,,,,,,,,
16:45.7,5.0242,0.0132,0.0664,3.02,0.117,,,,,,,,,
16:45.8,5.0242,0.0133,0.0666,3.036,3.272,,,,,,,,,
16:45.9,5.0242,0.0132,0.0664,3.057,0.005,,,,,,,,,
16:46.0,5.0242,0.0132,0.0665,3.041,0.016,0.0475,27.9,,,,,,,
16:46.1,5.0242,0.0132,0.0664,3.026,0.004,,,,,,,,,
16:46.2,5.0241,0.0132,0.0664,3.034,0.041,,,,,,,,,
16:46.3,5.0242,0.0132,0.0664,3.081,0.006,,,,,,,,,
16:46.4,5.0241,0.0132,0.0665,3.052,0.004,,,,,,,,,
16:46.5,5.0241,0.0132,0.0664,3.073,2.31,,,,,,,,,
16:46.6,5.0242,0.0132,0.0664,3.042,0.032,,,,,,,,,
16:46.7,5.0241,0.0132,0.0665,3.052,0.011,,,,,,,,,
16:46.8,5.0242,0.0132,0.0664,3.022,0.011,,,,,,,,,
16:46.9,5.0242,0.0132,0.0664,3.038,0.004,,,,,,,,,
16:47.0,5.0241,0.0132,0.0664,3.036,0.008,0.0476,27.5,,,,,,,
16:47.1,5.0241,0.0132,0.0664,2.552,0.006,,,,,,,,,
16:47.2,5.0241,0.0132,0.0664,3.024,0.028,,,,,,,,,
16:47.3,5.0241,0.0132,0.0664,3,0.004,,,,,,,,,
16:47.4,5.0242,0.0132,0.0664,3.059,0.008,,,,,,,,,
16:47.5,5.0242,0.0132,0.0664,3.053,0.017,,,,,,,,,
16:47.6,5.0242,0.0132,0.0664,3.046,0.008,,,,,,,,,
16:47.7,5.0242,0.0132,0.0664,3.026,0.003,,,,,,,,,
16:47.8,5.0242,0.0132,0.0664,3.043,0.015,,,,,,,,,
16:47.9,5.0241,0.0132,0.0664,3.087,0.006,,,,,,,,,
16:48.0,5.0242,0.0132,0.0664,3.044,0.182,0.0476,27.5,,,,,,,
16:48.1,5.0242,0.0132,0.0664,0.698,0.004,,,,,,,,,
16:48.2,5.0242,0.0132,0.0664,3.06,0.032,,,,,,,,,
16:48.3,5.0242,0.0132,0.0664,3.021,0.015,,,,,,,,,
16:48.4,5.0241,0.0132,0.0664,3.062,0.011,,,,,,,,,
16:48.5,5.0241,0.0132,0.0665,3.056,0.119,,,,,,,,,
16:48.6,5.0242,0.0132,0.0665,3.049,0.84,,,,,,,,,
16:48.7,5.0242,0.0133,0.0666,3.013,0.006,,,,,,,,,
16:48.8,5.0242,0.0133,0.0666,0.878,0.01,,,,,,,,,
16:48.9,5.0241,0.0133,0.0667,3.049,0.02,,,,,,,,,
16:49.0,5.0241,0.0133,0.0667,0.228,0.03,0.0476,28.5,,,,,,,
16:49.1,5.0241,0.0133,0.0667,3.026,0.01,,,,,,,,,
16:49.2,5.0241,0.0133,0.0666,3.07,0.034,,,,,,,,,
16:49.3,5.0241,0.0132,0.0665,3.099,0.004,,,,,,,,,
16:49.4,5.0241,0.0132,0.0665,3.045,0.007,,,,,,,,,
16:49.5,5.0241,0.0132,0.0664,3.001,0.005,,,,,,,,,
16:49.6,5.0242,0.0132,0.0665,3.038,0.006,,,,,,,,,
16:49.7,5.0241,0.0132,0.0665,1.657,0.021,,,,,,,,,
16:49.8,5.0242,0.0132,0.0665,3.04,0.012,,,,,,,,,
16:49.9,5.0242,0.0132,0.0665,0.752,0.011,,,,,,,,,
16:50.0,5.0242,0.0132,0.0664,3.053,0.007,0.0476,27.5,,,,,,,
16:50.1,5.0241,0.0132,0.0664,3.047,0.125,,,,,,,,,
16:50.2,5.0241,0.0132,0.0664,3.05,0.008,,,,,,,,,
16:50.3,5.0241,0.0132,0.0664,0.83,0.005,,,,,,,,,
16:50.4,5.0242,0.0132,0.0664,0.69,0.015,,,,,,,,,
16:50.5,5.0241,0.0132,0.0665,2.465,0.015,,,,,,,,,
16:50.6,5.0241,0.0132,0.0665,0.69,0.009,,,,,,,,,
16:50.7,5.0242,0.0132,0.0664,3.044,0.004,,,,,,,,,
16:50.8,5.0242,0.0132,0.0664,3.055,0.138,,,,,,,,,
16:50.9,5.0242,0.0132,0.0664,3.049,0.006,,,,,,,,,
16:51.0,5.0242,0.0132,0.0665,3.053,0.004,0.0476,26.5,,,,,,,
16:51.1,5.0242,0.0132,0.0665,0.687,0.565,,,,,,,,,
16:51.2,5.0241,0.0132,0.0665,2.553,0.341,,,,,,,,,
16:51.3,5.0241,0.0132,0.0664,3.069,0.006,,,,,,,,,
16:51.4,5.0242,0.0132,0.0664,2.783,0.006,,,,,,,,,
16:51.5,5.0241,0.0132,0.0664,3.045,0.005,,,,,,,,,
16:51.6,5.0241,0.0132,0.0664,3.028,0.013,,,,,,,,,
16:51.7,5.0242,0.0132,0.0664,3.198,0.003,,,,,,,,,
16:51.8,5.0242,0.0132,0.0664,3.175,2.652,,,,,,,,,
16:51.9,5.0241,0.0133,0.0666,3.068,0.56,,,,,,,,,
16:52.0,5.0242,0.0132,0.0665,3.024,0.006,0.0477,28.3,,,,,,,
16:52.1,5.0241,0.0132,0.0664,3.039,0.004,,,,,,,,,
16:52.2,5.0241,0.0132,0.0664,3.041,0.044,,,,,,,,,
16:52.3,5.0241,0.0132,0.0664,3.076,0.005,,,,,,,,,
16:52.4,5.0241,0.0132,0.0664,2.938,0.004,,,,,,,,,
16:52.5,5.0242,0.0132,0.0664,1.14,0.022,,,,,,,,,
16:52.6,5.0242,0.0132,0.0664,3.232,0.496,,,,,,,,,
16:52.7,5.0242,0.0132,0.0664,3.042,2.659,,,,,,,,,
16:52.8,5.0241,0.0132,0.0664,1.339,0.005,,,,,,,,,
16:52.9,5.0242,0.0132,0.0664,3.03,0.006,,,,,,,,,
16:53.0,5.0242,0.0132,0.0664,3.063,0.018,0.0477,27.9,,,,,,,
16:53.1,5.0242,0.0132,0.0664,3.04,0.005,,,,,,,,,
16:53.2,5.0242,0.0132,0.0664,3.047,0.009,,,,,,,,,
16:53.3,5.0242,0.0132,0.0664,3.056,0.008,,,,,,,,,
16:53.4,5.0242,0.0132,0.0665,0.756,2.657,,,,,,,,,
16:53.5,5.0242,0.0132,0.0665,3.051,0.024,,,,,,,,,
16:53.6,5.0242,0.0132,0.0664,3.025,0.01,,,,,,,,,
16:53.7,5.0241,0.0132,0.0664,0.709,0.011,,,,,,,,,
16:53.8,5.0242,0.0132,0.0664,2.591,0.012,,,,,,,,,
16:53.9,5.0242,0.0132,0.0664,3.031,0.023,,,,,,,,,
16:54.0,5.0242,0.0132,0.0665,3.059,0.443,0.0477,27.5,,,,,,,
16:54.1,5.0241,0.0132,0.0665,2.636,0.031,,,,,,,,,
16:54.2,5.0241,0.0132,0.0664,0.61,2.621,,,,,,,,,
16:54.3,5.0241,0.0132,0.0664,3.038,0.038,,,,,,,,,
16:54.4,5.0242,0.0132,0.0664,3.228,2.023,,,,,,,,,
16:54.5,5.0242,0.0132,0.0664,3.053,0.007,,,,,,,,,
16:54.6,5.0242,0.0132,0.0664,2.599,0.003,,,,,,,,,
16:54.7,5.0241,0.0132,0.0664,3.048,2.56,,,,,,,,,
16:54.8,5.0241,0.0132,0.0664,3.057,0.046,,,,,,,,,
16:54.9,5.0242,0.0132,0.0664,3.043,0.007,,,,,,,,,
16:55.0,5.0242,0.0132,0.0664,2.822,0.259,0.0477,27.3,,,,,,,
16:55.1,5.0241,0.0132,0.0664,3.036,0.007,,,,,,,,,
16:55.2,5.0242,0.0132,0.0664,2.799,0.011,,,,,,,,,
16:55.3,5.0241,0.0132,0.0664,0.781,0.024,,,,,,,,,
16:55.4,5.0241,0.0132,0.0665,3.093,0.003,,,,,,,,,
16:55.5,5.0241,0.0132,0.0664,3.034,0.009,,,,,,,,,
16:55.6,5.0241,0.0132,0.0664,3.063,0.663,,,,,,,,,
16:55.7,5.0242,0.0132,0.0664,3.034,0.006,,,,,,,,,
16:55.8,5.0242,0.0132,0.0664,3.191,1.341,,,,,,,,,
16:55.9,5.0242,0.0132,0.0665,3.041,0.007,,,,,,,,,
16:56.0,5.0242,0.0132,0.0664,3.086,0.01,0.0477,27.5,,,,,,,
16:56.1,5.0242,0.0132,0.0665,3.269,0.02,,,,,,,,,
16:56.2,5.0242,0.0132,0.0664,3.017,0.006,,,,,,,,,
16:56.3,5.0242,0.0132,0.0664,3.029,0.008,,,,,,,,,
16:56.4,5.0242,0.0132,0.0665,3.068,0.029,,,,,,,,,
16:56.5,5.0241,0.0132,0.0665,3.062,3.242,,,,,,,,,
16:56.6,5.0242,0.0132,0.0664,3.054,0.004,,,,,,,,,
16:56.7,5.0242,0.0132,0.0664,3.045,0.638,,,,,,,,,
16:56.8,5.0242,0.0132,0.0664,2.996,0.005,,,,,,,,,
16:56.9,5.0242,0.0132,0.0664,3.024,0.011,,,,,,,,,
16:57.0,5.0242,0.0132,0.0665,3.036,0.005,0.0478,27.5,,,,,,,
16:57.1,5.0241,0.0132,0.0664,3.041,0.025,,,,,,,,,
16:57.2,5.0241,0.0132,0.0664,3.071,0.662,,,,,,,,,
16:57.3,5.0241,0.0132,0.0664,3.049,0.251,,,,,,,,,
16:57.4,5.0241,0.0132,0.0664,0.674,0.824,,,,,,,,,
16:57.5,5.0241,0.0132,0.0664,2.713,0.009,,,,,,,,,
16:57.6,5.0242,0.0132,0.0664,3.03,0.008,,,,,,,,,
16:57.7,5.0242,0.0132,0.0664,3.266,0.008,,,,,,,,,
16:57.8,5.0241,0.0132,0.0664,3.036,0.006,,,,,,,,,
16:57.9,5.0242,0.0132,0.0664,3.054,0.038,,,,,,,,,
16:58.0,5.0242,0.0132,0.0664,3.039,0.013,0.0478,28.3,,,,,,,
16:58.1,5.0242,0.0132,0.0664,0.15,3.309,,,,,,,,,
16:58.2,5.0242,0.0132,0.0664,3.26,0.122,,,,,,,,,
16:58.3,5.0241,0.0132,0.0664,3.085,3.073,,,,,,,,,
16:58.4,5.0242,0.0132,0.0664,3.013,0.007,,,,,,,,,
16:58.5,5.0242,0.0132,0.0664,3.014,0.009,,,,,,,,,
16:58.6,5.0241,0.0132,0.0664,3.036,0.014,,,,,,,,,
16:58.7,5.0241,0.0132,0.0664,3.041,0.044,,,,,,,,,
16:58.8,5.0242,0.0132,0.0664,2.555,0.01,,,,,,,,,
16:58.9,5.0242,0.0132,0.0665,3.207,0.012,,,,,,,,,
16:59.0,5.0241,0.0132,0.0664,3.065,0.019,0.0478,27.3,,,,,,,
16:59.1,5.0239,0.0132,0.0664,3.036,0.003,,,,,,,,,
16:59.2,5.0241,0.0132,0.0664,3.036,0.004,,,,,,,,,
16:59.3,5.0242,0.0132,0.0664,0.742,0.007,,,,,,,,,
16:59.4,5.0242,0.0132,0.0664,3.051,0.511,,,,,,,,,
16:59.5,5.0242,0.0132,0.0664,3.045,0.083,,,,,,,,,
16:59.6,5.0242,0.0132,0.0665,3.045,0.493,,,,,,,,,
16:59.7,5.0242,0.0133,0.0666,2.98,2.827,,,,,,,,,
16:59.8,5.0242,0.0133,0.0667,1.088,0.005,,,,,,,,,
16:59.9,5.0241,0.0133,0.0666,1.424,0.084,,,,,,,,,
17:00.0,5.0242,0.0133,0.0666,3.039,1.196,0.0478,28.2,,,,,,,
17:00.1,5.0242,0.0132,0.0664,0.689,0.01,,,,,,,,,
17:00.2,5.0242,0.0132,0.0664,3.055,0.004,,,,,,,,,
17:00.3,5.0241,0.0132,0.0664,3.036,0.004,,,,,,,,,
17:00.4,5.0241,0.0132,0.0664,3.034,0.012,,,,,,,,,
17:00.5,5.0241,0.0132,0.0664,2.747,0.136,,,,,,,,,
17:00.6,5.0241,0.0132,0.0664,3.052,0.014,,,,,,,,,
17:00.7,5.0241,0.0132,0.0665,2.521,0.009,,,,,,,,,
17:00.8,5.0242,0.0132,0.0664,3.025,0.032,,,,,,,,,
17:00.9,5.0242,0.0132,0.0664,2.487,0.007,,,,,,,,,
17:01.0,5.0241,0.0132,0.0664,2.577,0.005,0.0478,27,,,,,,,
17:01.1,5.0242,0.0132,0.0664,3.043,0.013,,,,,,,,,
17:01.2,5.0242,0.0132,0.0664,3.046,0.588,,,,,,,,,
17:01.3,5.0242,0.0132,0.0664,0.727,0.061,,,,,,,,,
17:01.4,5.0242,0.0132,0.0664,3.043,0.013,,,,,,,,,
17:01.5,5.0241,0.0132,0.0664,2.802,0.005,,,,,,,,,
17:01.6,5.0242,0.0132,0.0664,3.056,0.01,,,,,,,,,
17:01.7,5.0241,0.0132,0.0664,3.022,0.006,,,,,,,,,
17:01.8,5.0241,0.0132,0.0664,3.046,0.007,,,,,,,,,
17:01.9,5.0242,0.0132,0.0664,3.034,0.079,,,,,,,,,
17:02.0,5.0241,0.0132,0.0665,3.038,2.345,0.0478,28.1,,,,,,,
17:02.1,5.0242,0.0132,0.0665,2.907,0.552,,,,,,,,,
17:02.2,5.0242,0.0132,0.0664,2.455,0.505,,,,,,,,,
17:02.3,5.0242,0.0132,0.0666,0.807,0.005,,,,,,,,,
17:02.4,5.0242,0.0133,0.0666,3.025,0.02,,,,,,,,,
17:02.5,5.0242,0.0132,0.0665,3.032,0.006,,,,,,,,,
17:02.6,5.0241,0.0132,0.0664,2.475,0.004,,,,,,,,,
17:02.7,5.0242,0.0132,0.0664,3.041,2.647,,,,,,,,,
17:02.8,5.0241,0.0132,0.0664,3.048,0.666,,,,,,,,,
17:02.9,5.0241,0.0132,0.0665,3.033,0.032,,,,,,,,,
17:03.0,5.0242,0.0132,0.0664,0.863,0.005,0.0479,27,,,,,,,
17:03.1,5.0241,0.0132,0.0665,3.04,0.004,,,,,,,,,
17:03.2,5.0242,0.0132,0.0664,3.037,0.009,,,,,,,,,
17:03.3,5.0242,0.0132,0.0664,3.067,0.008,,,,,,,,,
17:03.4,5.0242,0.0132,0.0664,3.049,0.009,,,,,,,,,
17:03.5,5.0242,0.0132,0.0664,3.052,0.005,,,,,,,,,
17:03.6,5.0242,0.0132,0.0664,3.046,0.893,,,,,,,,,
17:03.7,5.0242,0.0132,0.0664,0.829,0.428,,,,,,,,,
17:03.8,5.0241,0.0132,0.0664,3.035,0.006,,,,,,,,,
17:03.9,5.0241,0.0132,0.0664,3.007,0.006,,,,,,,,,
17:04.0,5.0242,0.0132,0.0664,3.045,0.003,0.0479,27.6,,,,,,,
17:04.1,5.0242,0.0132,0.0664,0.674,0.005,,,,,,,,,
17:04.2,5.0241,0.0132,0.0664,3.179,0.007,,,,,,,,,
17:04.3,5.0241,0.0132,0.0664,3.047,2.473,,,,,,,,,
17:04.4,5.0241,0.0132,0.0665,3.045,0.742,,,,,,,,,
17:04.5,5.0241,0.0132,0.0664,3.065,0.023,,,,,,,,,
17:04.6,5.0241,0.0132,0.0664,0.238,0.02,,,,,,,,,
17:04.7,5.0241,0.0132,0.0664,3.075,0.009,,,,,,,,,
17:04.8,5.0241,0.0132,0.0664,3.039,0.002,,,,,,,,,
17:04.9,5.0242,0.0132,0.0664,3.04,0.005,,,,,,,,,
17:05.0,5.0242,0.0132,0.0664,1.119,0.536,0.0479,27.4,,,,,,,
17:05.1,5.0242,0.0132,0.0664,3.053,0.03,,,,,,,,,
17:05.2,5.0242,0.0132,0.0665,3.047,0.008,,,,,,,,,
17:05.3,5.0241,0.0132,0.0664,1.075,0.02,,,,,,,,,
17:05.4,5.0241,0.0132,0.0664,3.045,0.008,,,,,,,,,
17:05.5,5.0242,0.0132,0.0664,3.033,0.005,,,,,,,,,
17:05.6,5.0241,0.0132,0.0664,3.053,0.01,,,,,,,,,
17:05.7,5.0242,0.0132,0.0664,3.042,0.007,,,,,,,,,
17:05.8,5.0242,0.0132,0.0664,3.269,0.009,,,,,,,,,
17:05.9,5.0242,0.0132,0.0664,3.043,0.018,,,,,,,,,
17:06.0,5.0242,0.0132,0.0664,3.051,0.004,0.0479,27.9,,,,,,,
