"Location","measure_name","time","measure_value::double"
Tokyo,0002DO_1,2022-11-16 18:10:06,0
Tokyo,0002DO_1,2022-11-16 18:20:06,0
Tokyo,0002DO_1,2022-11-16 18:30:06,0
Tokyo,0002DO_1,2022-11-16 18:40:06,0
Tokyo,0002DO_1,2022-11-16 18:50:06,0
Tokyo,0002DO_1,2022-11-16 19:00:06,0
Tokyo,0002DO_1,2022-11-16 19:10:06,0
Tokyo,0002DO_1,2022-11-16 19:20:06,0
Tokyo,0002DO_1,2022-11-16 19:30:06,0
Tokyo,0002DO_1,2022-11-16 19:40:06,0
Tokyo,0002DO_1,2022-11-16 19:50:06,0
Tokyo,0002DO_1,2022-11-16 20:00:06,0
Tokyo,0002DO_1,2022-11-16 20:10:06,0
Tokyo,0002DO_1,2022-11-16 20:20:06,0
Tokyo,0002DO_1,2022-11-16 20:30:06,0.0200
Tokyo,0002DO_1,2022-11-16 20:40:06,0
Tokyo,0002DO_1,2022-11-16 20:50:06,0
Tokyo,0002DO_1,2022-11-16 21:00:06,0
Tokyo,0002DO_1,2022-11-16 21:10:06,0
Tokyo,0002DO_1,2022-11-16 21:20:06,0
Tokyo,0002DO_1,2022-11-16 21:30:06,0
Tokyo,0002DO_1,2022-11-16 21:40:06,0
Tokyo,0002DO_1,2022-11-16 21:50:06,0
Tokyo,0002DO_1,2022-11-16 22:00:06,0
Tokyo,0002DO_1,2022-11-16 22:10:06,0
Tokyo,0002DO_1,2022-11-16 22:20:06,0
Tokyo,0002DO_1,2022-11-16 22:30:06,0
Tokyo,0002DO_1,2022-11-16 22:40:06,0
Tokyo,0002DO_1,2022-11-16 22:50:06,0
Tokyo,0002DO_1,2022-11-16 23:00:06,0
Tokyo,0002DO_1,2022-11-16 23:10:06,0
Tokyo,0002DO_1,2022-11-16 23:20:06,0
Tokyo,0002DO_1,2022-11-16 23:30:06,0
Tokyo,0002DO_1,2022-11-16 23:40:06,0
Tokyo,0002DO_1,2022-11-16 23:50:06,0
Tokyo,0002DO_1,2022-11-17 00:00:06,0
Tokyo,0002DO_1,2022-11-17 00:10:06,0
Tokyo,0002DO_1,2022-11-17 00:30:06,0
Tokyo,0002DO_1,2022-11-17 00:40:06,0
Tokyo,0002DO_1,2022-11-17 00:50:06,0
Tokyo,0002DO_1,2022-11-17 01:00:06,0
Tokyo,0002DO_1,2022-11-17 01:10:06,0
Tokyo,0002DO_1,2022-11-17 01:20:06,0
Tokyo,0002DO_1,2022-11-17 01:30:06,0
Tokyo,0002DO_1,2022-11-17 01:40:06,0
Tokyo,0002DO_1,2022-11-17 01:50:06,0
Tokyo,0002DO_1,2022-11-17 02:00:06,0
Tokyo,0002DO_1,2022-11-17 02:10:06,0
Tokyo,0002DO_1,2022-11-17 02:20:06,0
Tokyo,0002DO_1,2022-11-17 02:30:06,0
Tokyo,0002DO_1,2022-11-17 02:40:06,0
Tokyo,0002DO_1,2022-11-17 02:50:06,0
Tokyo,0002DO_1,2022-11-17 03:00:06,0
Tokyo,0002DO_1,2022-11-17 03:10:06,0
Tokyo,0002DO_1,2022-11-17 03:20:06,0
Tokyo,0002DO_1,2022-11-17 03:30:06,0
Tokyo,0002DO_1,2022-11-17 03:40:06,0
Tokyo,0002DO_1,2022-11-17 03:50:06,0
Tokyo,0002DO_1,2022-11-17 04:00:06,0
Tokyo,0002DO_1,2022-11-17 04:10:06,0
Tokyo,0002DO_1,2022-11-17 04:20:06,0
Tokyo,0002DO_1,2022-11-17 04:30:06,0
Tokyo,0002DO_1,2022-11-17 04:40:06,0
Tokyo,0002DO_1,2022-11-17 04:50:06,0
Tokyo,0002DO_1,2022-11-17 05:00:06,0
Tokyo,0002DO_1,2022-11-17 05:10:06,0
Tokyo,0002DO_1,2022-11-17 05:20:06,0
Tokyo,0002DO_1,2022-11-17 05:30:06,0
Tokyo,0002DO_1,2022-11-17 05:40:06,0
Tokyo,0002DO_1,2022-11-17 05:50:06,0
Tokyo,0002DO_1,2022-11-17 06:00:06,0
Tokyo,0002DO_1,2022-11-17 06:10:06,0
Tokyo,0002DO_1,2022-11-17 06:20:06,0
Tokyo,0002DO_1,2022-11-17 06:30:06,0
Tokyo,0002DO_1,2022-11-17 06:40:06,0
Tokyo,0002DO_1,2022-11-17 06:50:06,0
Tokyo,0002DO_1,2022-11-17 07:00:06,0
Tokyo,0002DO_1,2022-11-17 07:10:06,0
Tokyo,0002DO_1,2022-11-17 07:20:06,0
Tokyo,0002DO_1,2022-11-17 07:30:06,0
Tokyo,0002DO_1,2022-11-17 07:40:06,0
Tokyo,0002DO_1,2022-11-17 07:50:06,0
Tokyo,0002DO_1,2022-11-17 08:00:06,0
Tokyo,0002DO_1,2022-11-17 08:10:06,0
Tokyo,0002DO_1,2022-11-17 08:20:06,0
Tokyo,0002DO_1,2022-11-17 08:50:06,0
Tokyo,0002DO_1,2022-11-17 09:00:06,0
Tokyo,0002DO_1,2022-11-17 09:10:06,0
Tokyo,0002DO_1,2022-11-17 09:20:06,0
Tokyo,0002DO_1,2022-11-17 09:30:06,0
Tokyo,0002DO_1,2022-11-17 09:40:06,0
Tokyo,0002DO_1,2022-11-17 09:50:06,7.30
Tokyo,0002DO_1,2022-11-17 10:00:06,0
Tokyo,0002DO_1,2022-11-17 10:10:06,0
Tokyo,0002DO_1,2022-11-17 10:20:06,0
Tokyo,0002DO_1,2022-11-17 10:30:06,0
Tokyo,0002DO_1,2022-11-17 10:40:06,0
Tokyo,0002DO_1,2022-11-17 10:50:06,0
Tokyo,0002DO_1,2022-11-17 11:00:06,0
Tokyo,0002DO_1,2022-11-17 11:10:06,0
Tokyo,0002DO_1,2022-11-17 11:20:06,0
Tokyo,0002DO_1,2022-11-17 11:30:06,0
Tokyo,0002DO_1,2022-11-17 11:40:06,0
Tokyo,0002DO_1,2022-11-17 11:50:06,0
Tokyo,0002DO_1,2022-11-17 12:00:06,0
Tokyo,0002DO_1,2022-11-17 12:10:06,0
Tokyo,0002DO_1,2022-11-17 12:20:06,0
Tokyo,0002DO_1,2022-11-17 12:30:06,0
Tokyo,0002DO_1,2022-11-17 12:40:06,0
Tokyo,0002DO_1,2022-11-17 12:50:06,0
Tokyo,0002DO_1,2022-11-17 13:00:06,0
Tokyo,0002DO_1,2022-11-17 13:10:06,0
Tokyo,0002DO_1,2022-11-17 13:20:06,0
Tokyo,0002DO_1,2022-11-17 13:30:06,0.880
Tokyo,0002DO_1,2022-11-17 13:40:06,0
Tokyo,0002DO_1,2022-11-17 13:50:06,0
Tokyo,0002DO_1,2022-11-17 14:00:06,0
Tokyo,0002DO_1,2022-11-17 14:10:06,0
Tokyo,0002DO_1,2022-11-17 14:20:06,0
Tokyo,0002DO_1,2022-11-17 14:30:06,0
Tokyo,0002DO_1,2022-11-17 14:40:06,0
Tokyo,0002DO_1,2022-11-17 14:50:06,0
Tokyo,0002DO_1,2022-11-17 15:00:06,0
Tokyo,0002DO_1,2022-11-17 15:10:06,0
Tokyo,0002DO_1,2022-11-17 15:20:06,0
Tokyo,0002DO_1,2022-11-17 15:30:06,0
Tokyo,0002DO_1,2022-11-17 15:40:06,0
Tokyo,0002DO_1,2022-11-17 15:50:06,0
Tokyo,0002DO_1,2022-11-17 16:00:06,0
Tokyo,0002DO_1,2022-11-17 16:10:06,0
Tokyo,0002DO_1,2022-11-17 16:20:06,0
Tokyo,0002DO_1,2022-11-17 16:30:06,0
Tokyo,0002DO_1,2022-11-17 16:40:06,0
Tokyo,0002DO_1,2022-11-17 16:50:06,0
Tokyo,0002DO_1,2022-11-17 17:00:06,0
Tokyo,0002DO_1,2022-11-17 17:10:06,0
Tokyo,0002DO_1,2022-11-17 17:20:06,0
Tokyo,0002DO_1,2022-11-17 17:30:06,0
Tokyo,0002DO_1,2022-11-17 17:40:06,0
Tokyo,0002DO_1,2022-11-17 17:50:06,0
Tokyo,0002DO_1,2022-11-17 18:00:06,0
Tokyo,0002DO_1,2022-11-17 18:10:06,0
Tokyo,0002DO_1,2022-11-17 18:20:06,0
Tokyo,0002DO_1,2022-11-17 18:30:06,0
Tokyo,0002DO_1,2022-11-17 18:40:06,0
Tokyo,0002DO_1,2022-11-17 18:50:06,0
Tokyo,0002DO_1,2022-11-17 19:00:06,0
Tokyo,0002DO_1,2022-11-17 19:10:06,0
Tokyo,0002DO_1,2022-11-17 19:20:06,0
Tokyo,0002DO_1,2022-11-17 19:40:06,0
Tokyo,0002DO_1,2022-11-17 19:50:06,0
Tokyo,0002DO_1,2022-11-17 20:00:06,0
Tokyo,0002DO_1,2022-11-17 20:10:06,0
Tokyo,0002DO_1,2022-11-17 20:20:06,0
Tokyo,0002DO_1,2022-11-17 20:30:06,0
Tokyo,0002DO_1,2022-11-17 20:40:06,0
Tokyo,0002DO_1,2022-11-17 20:50:06,0
Tokyo,0002DO_1,2022-11-17 21:00:06,0
Tokyo,0002DO_1,2022-11-17 21:10:06,0
Tokyo,0002DO_1,2022-11-17 21:20:06,0
Tokyo,0002DO_1,2022-11-17 21:30:06,0
Tokyo,0002DO_1,2022-11-17 21:40:06,0
Tokyo,0002DO_1,2022-11-17 21:50:06,0
Tokyo,0002DO_1,2022-11-17 22:00:06,0
Tokyo,0002DO_1,2022-11-17 22:10:06,0
Tokyo,0002DO_1,2022-11-17 22:20:06,0
Tokyo,0002DO_1,2022-11-17 22:30:06,0
Tokyo,0002DO_1,2022-11-17 22:40:06,0
Tokyo,0002DO_1,2022-11-17 22:50:06,0
Tokyo,0002DO_1,2022-11-17 23:00:06,0
Tokyo,0002DO_1,2022-11-17 23:10:06,0
Tokyo,0002DO_1,2022-11-17 23:20:06,0
Tokyo,0002DO_1,2022-11-17 23:30:06,0
Tokyo,0002DO_1,2022-11-17 23:50:06,0
Tokyo,0002DO_1,2022-11-18 00:00:06,0
Tokyo,0002DO_1,2022-11-18 00:10:06,0
Tokyo,0002DO_1,2022-11-18 00:20:06,0
Tokyo,0002DO_1,2022-11-18 00:30:06,0
Tokyo,0002DO_1,2022-11-18 00:40:06,0
Tokyo,0002DO_1,2022-11-18 00:50:06,0
Tokyo,0002DO_1,2022-11-18 01:00:06,0
Tokyo,0002DO_1,2022-11-18 01:10:06,0
Tokyo,0002DO_1,2022-11-18 01:20:06,0
Tokyo,0002DO_1,2022-11-18 01:30:06,0
Tokyo,0002DO_1,2022-11-18 01:40:06,0
Tokyo,0002DO_1,2022-11-18 01:50:06,0
Tokyo,0002DO_1,2022-11-18 02:00:06,0
Tokyo,0002DO_1,2022-11-18 02:10:06,0
Tokyo,0002DO_1,2022-11-18 02:20:06,0
Tokyo,0002DO_1,2022-11-18 02:30:06,0
Tokyo,0002DO_1,2022-11-18 02:40:06,0
Tokyo,0002DO_1,2022-11-18 02:50:06,0
Tokyo,0002DO_1,2022-11-18 03:00:06,0
Tokyo,0002DO_1,2022-11-18 03:10:06,0
Tokyo,0002DO_1,2022-11-18 03:20:06,0
Tokyo,0002DO_1,2022-11-18 03:30:06,0
Tokyo,0002DO_1,2022-11-18 03:40:06,0
Tokyo,0002DO_1,2022-11-18 03:50:06,0
Tokyo,0002DO_1,2022-11-18 04:00:06,0
Tokyo,0002DO_1,2022-11-18 04:10:06,0
Tokyo,0002DO_1,2022-11-18 04:20:06,0
Tokyo,0002DO_1,2022-11-18 04:30:06,0
Tokyo,0002DO_1,2022-11-18 04:40:06,0
Tokyo,0002DO_1,2022-11-18 04:50:06,0
Tokyo,0002DO_1,2022-11-18 05:00:06,0
Tokyo,0002DO_1,2022-11-18 05:10:06,0
Tokyo,0002DO_1,2022-11-18 05:20:06,0
Tokyo,0002DO_1,2022-11-18 05:30:06,0
Tokyo,0002DO_1,2022-11-18 05:40:06,0
Tokyo,0002DO_1,2022-11-18 05:50:06,0
Tokyo,0002DO_1,2022-11-18 06:00:06,0
Tokyo,0002DO_1,2022-11-18 06:10:06,0
Tokyo,0002DO_1,2022-11-18 06:20:06,0
Tokyo,0002DO_1,2022-11-18 06:28:21,0
Tokyo,0002DO_1,2022-11-19 06:25:53,0
Tokyo,0002DO_1,2022-11-19 06:40:06,0
Tokyo,0002DO_1,2022-11-19 06:50:06,0
Tokyo,0002DO_1,2022-11-19 07:00:06,0
Tokyo,0002DO_1,2022-11-19 07:10:06,0
Tokyo,0002DO_1,2022-11-19 07:20:06,0
Tokyo,0002DO_1,2022-11-19 07:30:06,0
Tokyo,0002DO_1,2022-11-19 07:40:06,0
Tokyo,0002DO_1,2022-11-19 07:50:06,0
Tokyo,0002DO_1,2022-11-19 08:00:06,0
Tokyo,0002DO_1,2022-11-19 08:10:06,0
Tokyo,0002DO_1,2022-11-19 08:20:06,0
Tokyo,0002DO_1,2022-11-19 08:30:06,0
Tokyo,0002DO_1,2022-11-19 08:40:06,0
Tokyo,0002DO_1,2022-11-19 08:50:06,0
Tokyo,0002DO_1,2022-11-19 09:00:06,0
Tokyo,0002DO_1,2022-11-19 09:10:06,0
Tokyo,0002DO_1,2022-11-19 09:20:06,0
Tokyo,0002DO_1,2022-11-19 09:30:06,0
Tokyo,0002DO_1,2022-11-19 09:40:06,0
Tokyo,0002DO_1,2022-11-19 09:50:06,0.980
Tokyo,0002DO_1,2022-11-19 10:00:06,0
Tokyo,0002DO_1,2022-11-19 10:10:06,0
Tokyo,0002DO_1,2022-11-19 10:20:06,0
Tokyo,0002DO_1,2022-11-19 10:30:06,0
Tokyo,0002DO_1,2022-11-19 10:40:06,0
Tokyo,0002DO_1,2022-11-19 10:50:06,0
Tokyo,0002DO_1,2022-11-19 11:00:06,0
Tokyo,0002DO_1,2022-11-19 11:10:06,0
Tokyo,0002DO_1,2022-11-19 11:20:06,0
Tokyo,0002DO_1,2022-11-19 11:30:06,0
Tokyo,0002DO_1,2022-11-19 11:40:06,0
Tokyo,0002DO_1,2022-11-19 11:50:06,0
Tokyo,0002DO_1,2022-11-19 12:00:06,0
Tokyo,0002DO_1,2022-11-19 12:10:06,0
Tokyo,0002DO_1,2022-11-19 12:20:06,0
Tokyo,0002DO_1,2022-11-19 12:30:06,0
Tokyo,0002DO_1,2022-11-19 12:40:06,0
Tokyo,0002DO_1,2022-11-19 12:50:06,0
Tokyo,0002DO_1,2022-11-19 13:00:06,0
Tokyo,0002DO_1,2022-11-19 13:10:06,0
Tokyo,0002DO_1,2022-11-19 13:20:06,0
Tokyo,0002DO_1,2022-11-19 13:30:06,0
Tokyo,0002DO_1,2022-11-19 13:40:06,0
Tokyo,0002DO_1,2022-11-19 13:50:06,0
Tokyo,0002DO_1,2022-11-19 14:00:06,0
Tokyo,0002DO_1,2022-11-19 14:10:06,0
Tokyo,0002DO_1,2022-11-19 14:20:06,0
Tokyo,0002DO_1,2022-11-19 14:30:06,0
Tokyo,0002DO_1,2022-11-19 14:40:06,0
