2022-05-15 09:37:44,173 send data failed

2022-05-15 09:37:44,207 <-- send data info[panid = 0001, srcid = 7068, dstid = 7067, length = 03]
2022-05-15 10:10:39,097 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:39,140 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:42,616 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:42,660 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:46,252 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:46,294 RSSI(-80dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:49,678 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:49,723 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64602333333333,N,139.78147166666668,E)

2022-05-15 10:10:52,939 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1F]

2022-05-15 10:10:52,979 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64602,N,139.78147166666668,E)

2022-05-15 10:10:56,378 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1F]

2022-05-15 10:10:56,420 RSSI(-88dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64601666666667,N,139.78147,E)

2022-05-15 10:10:59,794 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 21]

2022-05-15 10:10:59,836 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646011666666666,N,139.781465,E)

2022-05-15 10:11:03,412 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:11:03,456 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646008333333334,N,139.78145833333335,E)

2022-05-15 10:11:06,537 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 17]

2022-05-15 10:11:06,575 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646005,N,139.78145,E)

2022-05-15 10:11:10,332 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:11:10,375 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64600166666666,N,139.78144333333333,E)

2022-05-15 10:11:13,735 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1D]

2022-05-15 10:11:13,776 RSSI(-87dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646,N,139.78143666666668,E)

2022-05-15 10:11:17,394 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

